Event,Site,d18O,d2H,d18Opre,d2Hpre,d18Oratio,d2Hratio,x,y,z,g
7,15,-18.5293867106266,-136.985843613914,-18.25802,-135.0432,0.0146452073597774,0.0141813457702187,-0.27136671062663,-1.94264361391402,-18.25802,-135.0432
8,15,-18.4430130203231,-138.755599793468,-16.77375,-127.1052,0.0905092361255539,0.0839634566879396,-1.66926302032309,-11.6503997934679,-16.77375,-127.1052
9,15,-18.142438851455,-135.926124626237,-16.70478,-126.1175,0.0792428660350549,0.0721614380841666,-1.43765885145503,-9.80862462623691,-16.70478,-126.1175
12,15,-18.6772563298622,-140.549546561906,-17.27776,-130.7644,0.0749305093395678,0.0696206199256292,-1.39949632986225,-9.78514656190598,-17.27776,-130.7644
