X,id,pred,var,area,date,neighbors
1,3,1.44147277114346,0.0154421826692267,122.839999999997,05/2022,10
2,5,1.44038763662064,0.0154293380300828,126.21000000001,05/2022,10
3,7,1.38230495971617,0.0305411251597462,28.1699999999995,05/2022,10
4,10,1.40120279012575,0.0237440421375859,72.8800000000034,05/2022,10
5,12,1.39494215616062,0.029249769699165,10.0899999999995,05/2022,10
6,14,1.38839268419224,0.0270437462173247,8.65999999999924,05/2022,10
7,16,1.43911670787947,0.0188353533903509,15.2499999999994,05/2022,10
8,17,1.40678152929905,0.0198782426047017,39.8200000000005,05/2022,10
9,19,1.35403791878166,0.0268090225860092,93.8999999999974,05/2022,10
10,20,1.34662771539402,0.035377851263208,62.2299999999959,05/2022,10
11,22,1.35807978565901,0.0380836094244278,9.69000000000027,05/2022,10
12,27,1.28718162688979,0.0391532080652091,44.6999999999995,05/2022,10
13,30,1.28090123727446,0.0405002174721518,3.50999999999988,05/2022,10
14,34,1.28622964942046,0.0409860466541553,2.39999999999999,05/2022,10
15,38,1.35611805481213,0.0400506170523554,10.8899999999999,05/2022,10
16,39,1.35738098574983,0.0392353276594197,4.25000000000009,05/2022,10
17,40,1.3431246268245,0.04029412676715,26.3800000000013,05/2022,10
18,6191000,0.526747280445462,0.0424089242889769,514.140000000007,05/2022,10
1,3,1.9735196264681,2.0193336307781,122.839999999997,06/2022,10
2,5,1.96796401865202,1.93855486234928,126.21000000001,06/2022,10
3,7,1.76733405317504,4.25564081768334,28.1699999999995,06/2022,10
4,10,1.94051909086479,2.64551919436208,72.8800000000034,06/2022,10
5,12,1.9185105818526,5.94309682225655,10.0899999999995,06/2022,10
6,14,1.97015055020016,6.16574035079412,8.65999999999924,06/2022,10
7,16,2.11791376890577,4.94087029675584,15.2499999999994,06/2022,10
8,17,2.04058696382258,3.53317834024076,39.8200000000005,06/2022,10
9,19,1.78883600856716,2.63128275993432,93.8999999999974,06/2022,10
10,20,1.69449707143787,2.95820639388262,62.2299999999959,06/2022,10
11,22,1.71742059630987,5.80585179601443,9.69000000000027,06/2022,10
12,27,1.58481538624422,3.73455862709966,44.6999999999995,06/2022,10
13,30,1.59015334857602,7.47697225926713,3.50999999999988,06/2022,10
14,34,1.59192854085921,7.68516764350894,2.39999999999999,06/2022,10
15,38,1.67249152632695,5.92271758880294,10.8899999999999,06/2022,10
16,39,1.7037104420314,6.86240982860656,4.25000000000009,06/2022,10
17,40,1.62770374000811,4.47662313349463,26.3800000000013,06/2022,10
18,6191000,1.40395787462346,1.01645199972402,514.140000000007,06/2022,10
1,3,0.409698831502944,0.546826992460773,122.839999999997,07/2022,10
2,5,0.411792682523877,0.519776113328656,126.21000000001,07/2022,10
3,7,0.450844159081254,1.15950245330258,28.1699999999995,07/2022,10
4,10,0.479891004722593,0.699623916687126,72.8800000000034,07/2022,10
5,12,0.513296325154139,1.54044406076939,10.0899999999995,07/2022,10
6,14,0.52327456315315,1.58382901967272,8.65999999999924,07/2022,10
7,16,0.559833617026129,1.34619186819591,15.2499999999994,07/2022,10
8,17,0.614037972642354,0.981261955323907,39.8200000000005,07/2022,10
9,19,0.600218299445921,0.687205988590103,93.8999999999974,07/2022,10
10,20,0.512287930961542,0.777835165633404,62.2299999999959,07/2022,10
11,22,0.499403444085051,1.51336543155455,9.69000000000027,07/2022,10
12,27,0.463787104926007,1.01061580759765,44.6999999999995,07/2022,10
13,30,0.447975169837008,1.81346971399561,3.50999999999988,07/2022,10
14,34,0.452834280369781,1.84473695162996,2.39999999999999,07/2022,10
15,38,0.485991541050135,1.53865952044598,10.8899999999999,07/2022,10
16,39,0.490674704753085,1.71015255539274,4.25000000000009,07/2022,10
17,40,0.478827886856441,1.21004413068342,26.3800000000013,07/2022,10
18,6191000,0.539744050919623,0.195166327129731,514.140000000007,07/2022,10
1,3,0.208059230872409,0.0167131509603913,122.839999999997,08/2022,10
2,5,0.208862725894115,0.0166152151435886,126.21000000001,08/2022,10
3,7,0.269162971133494,0.0310082798559124,28.1699999999995,08/2022,10
4,10,0.281962141639385,0.0245663285078425,72.8800000000034,08/2022,10
5,12,0.329243894948098,0.0308931814942772,10.0899999999995,08/2022,10
6,14,0.346110956612881,0.0292978647548773,8.65999999999924,08/2022,10
7,16,0.397871293622119,0.0220922144879016,15.2499999999994,08/2022,10
8,17,0.43745429504183,0.0226216537931688,39.8200000000005,08/2022,10
9,19,0.447169035825286,0.0275312808051953,93.8999999999974,08/2022,10
10,20,0.410191422026528,0.0335513292392119,62.2299999999959,08/2022,10
11,22,0.375529733269239,0.0372675172129197,9.69000000000027,08/2022,10
12,27,0.409367231573036,0.0366909812593204,44.6999999999995,08/2022,10
13,30,0.358647593095444,0.0393198793128744,3.50999999999988,08/2022,10
14,34,0.371442818251736,0.0396938396826003,2.39999999999999,08/2022,10
15,38,0.37604036413476,0.038560424135376,10.8899999999999,08/2022,10
16,39,0.366385761025808,0.0383249259674733,4.25000000000009,08/2022,10
17,40,0.39368596853897,0.0379458582156989,26.3800000000013,08/2022,10
18,6191000,0.246954577090801,0.0297480828689135,514.140000000007,08/2022,10
1,3,0.140664084503333,0.0175141574491553,122.839999999997,09/2022,10
2,5,0.141715759877774,0.0169907291261225,126.21000000001,09/2022,10
3,7,0.186277816685568,0.0307391274787487,28.1699999999995,09/2022,10
4,10,0.198019393313187,0.0223393427322401,72.8800000000034,09/2022,10
5,12,0.232059905479939,0.0360586535418629,10.0899999999995,09/2022,10
6,14,0.24757605802342,0.0363236326913429,8.65999999999924,09/2022,10
