DateTime ,jck_mm ,jck_mx ,jck_mn ,jck_sp ,jck_pp,Notes
2022-04-29,33.16,39.4,29.6,4.92,0.02,
2022-04-30,36.12,49.1,26.4,4.17,0,
2022-05-01,39.11,53.2,32.4,3.61,0.5,
2022-05-02,38.77,53.5,32.2,2.68,0,
2022-05-03,33.17,36.7,29.8,2.8,0.34,
2022-05-04,41.36,52.6,30.9,1.87,0.01,
2022-05-05,43.39,59.5,26.8,0.71,0,
2022-05-06,47.01,54.1,38.4,-0.12,0.06,
2022-05-07,42.43,48.5,35.7,-0.27,0,
2022-05-08,34.21,40.5,28.4,-0.28,0.11,
2022-05-09,27.1,32.2,22.2,-0.28,0.05,
2022-05-10,30.25,44.1,18,-0.26,0,
2022-05-11,37.81,55.9,21.5,-0.28,0,
2022-05-12,37.81,43.5,33.1,-0.3,0.09,
2022-05-13,40.6,48.6,32,-0.26,0.1,
2022-05-14,43.09,50.4,36.8,-0.26,0.12,
2022-05-15,46.89,68,30.1,-0.36,0,
2022-05-16,51.27,69.4,35.2,-0.36,0,
2022-05-17,49.52,63.6,36,-0.24,0,
2022-05-18,47.28,62,29.1,-0.38,0,
2022-05-19,40.37,54.6,26.7,-0.3,0.09,
2022-05-20,34.09,43.3,24.9,-0.19,0,
2022-05-21,34.07,46.1,20.7,-0.31,0,
2022-05-22,36.62,48.8,27.5,0.09,0.42,
2022-05-23,39.12,52.3,26.8,-0.17,0.01,
2022-05-24,39.03,51,28.9,-0.2,0,
2022-05-25,45.67,63.4,28.2,-0.34,0,
2022-05-26,51.62,72.7,30.9,-0.33,0.03,
2022-05-27,54.21,65.9,43.4,-0.32,0.02,
2022-05-28,45.33,51.6,41.1,-0.35,0.63,
2022-05-29,37.98,44,34.1,-0.3,0.21,
2022-05-30,36.65,41.9,32.4,-0.22,0.4,
2022-05-31,40.1,49,34.4,-0.3,0.07,
2022-06-01,45.13,59.3,33.3,-0.22,0,
2022-06-02,48.69,65.7,31.8,-0.38,0,
2022-06-03,54.28,67.4,39.4,-0.34,0.01,
2022-06-04,49.47,64.4,37.5,-0.34,0.07,
2022-06-05,48.38,58.7,40.4,-0.33,0.13,
2022-06-06,48.69,58.2,40.6,-0.37,0.12,
2022-06-07,47.12,59.5,33.4,-0.35,0,
2022-06-08,49.76,65.4,31.9,-0.39,0,
2022-06-09,55.71,69.2,40.4,-0.34,0,
2022-06-10,58.31,72.7,39.5,-0.49,0,
2022-06-11,60,71.3,44.4,-0.45,0,
2022-06-12,53.84,63.1,49.9,-0.35,0.27,
2022-06-13,45.6,51.8,37,-0.33,0.4,
2022-06-14,38.74,46.1,31.6,-0.35,0.01,
2022-06-15,45.17,60.2,31.9,-0.37,0,
2022-06-16,54.99,79.4,31.1,-0.4,0,
2022-06-17,61.13,83.4,39.4,-0.48,0,
2022-06-18,62.84,75.2,50.5,-0.42,0.15,
2022-06-19,48.02,55.2,40.1,-0.36,0.58,
2022-06-20,41.44,50.9,33.8,-0.21,0.06,
2022-06-21,48,66.5,32.6,-0.36,0,
2022-06-22,53.39,72.9,34,-0.39,0,
2022-06-23,57.46,73.8,38.5,-0.46,0,
2022-06-24,58.11,69,45.7,-0.43,0.01,
2022-06-25,52.36,69.5,35.1,-0.35,0,
2022-06-26,55.44,74.7,36.4,-0.38,0,
2022-06-27,58.02,78,37.6,-0.44,0,
2022-06-28,59.92,78.5,40.8,-0.43,0.01,
2022-06-29,60.89,72.3,45.3,-0.41,0,
2022-06-30,57.68,74.4,37.2,-0.4,0,
2022-07-01,57.63,78.4,39.8,-0.33,0.07,
2022-07-02,57.65,78,41.1,-0.25,0.02,
2022-07-03,62.74,79.6,45.9,-0.42,0,
2022-07-04,61.41,76.6,44.2,-0.41,0,
2022-07-05,60.04,79,38.8,-0.42,0,
2022-07-06,62.38,80.7,42.7,-0.42,0,
2022-07-07,64.31,80.8,46.7,-0.42,0.02,
2022-07-08,64.6,84.5,43.2,-0.41,0,
2022-07-09,65.45,85.6,42.8,-0.43,0,
2022-07-10,62.96,77.7,43.2,-0.41,0,
2022-07-11,62.52,80.3,42.8,-0.42,0,
2022-07-12,64.32,84.1,43.3,-0.43,0,
2022-07-13,61.04,84.5,43.7,-0.41,0.11,
2022-07-14,62.73,82.3,48.5,-0.43,0.04,
2022-07-15,63.65,81.1,49.7,-0.44,0,
2022-07-16,64.71,83.9,47.1,-0.45,0,
2022-07-17,66.78,87.5,44.5,-0.48,0,
2022-07-18,68.24,79.7,54.1,-0.43,0,
2022-07-19,62.14,79.2,40.1,-0.36,0,
2022-07-20,62.57,82,41.3,-0.42,0,
2022-07-21,64.6,82.5,44.8,-0.44,0,
2022-07-22,65.62,84.7,42.7,-0.48,0,
2022-07-23,64.67,80.7,46.2,-0.44,0,
2022-07-24,62.51,81.3,42.7,-0.44,0,
2022-07-25,61.38,79.4,41.8,-0.41,0,
2022-07-26,64.21,82.3,44.9,-0.45,0,
2022-07-27,65.22,84.4,44.3,-0.46,0,
2022-07-28,66.59,83.8,49.4,-0.48,0,
2022-07-29,66.53,85,48.9,-0.46,0.02,
2022-07-30,65.36,85.6,47,-0.48,0,
